name,altitude,ascent_count,rating,region,report_count,rating_count,bb_count,hotel_count,hostel_count,cottage_count,camping_count,island,county,latitude,longitude,neighbor_count_0_1,neighbor_count_1_2.5,neighbor_count_2.5_5,neighbor_count_5_10,neighbor_count_10_15,neighbor_count_15_20,nearest_city_dist,nearest_city_population,population_0_25,population_25_50,population_50_75,population_75_100,beginner_friendly,national_park
Bynack More,1090,6560,3.62,Cairngorms,121,91,37,29,9,182,182,,Highland,57.13822,-3.584716,0,0,1,4,5,2,52.28,12587,0,0,189364,561557,0,Cairngorms
Stob Ghabhar,1090,4927,4.06,Argyll,107,101,58,67,6,101,101,,Argyll and Bute/Highland,56.568103,-4.882099,0,0,1,7,11,9,31.13,10459,0,19034,152144,1890331,0,
Beinn a' Chlachair,1087,3343,3.47,Fort William,67,45,72,41,18,147,147,,Highland,56.869525,-4.509684,0,0,4,2,13,2,36.64,10459,0,10459,77368,217359,0,
Beinn Dearg (Ullapool),1084,3603,3.79,Ullapool,66,59,24,16,5,72,72,,Highland,57.78635,-4.929557,0,1,1,1,6,2,36.49,6545,0,11855,79773,51748,0,
Schiehallion,1083,15936,3.58,Perthshire,189,267,58,71,5,96,96,,Perth and Kinross,56.666933,-4.100229,0,0,0,2,3,2,36.03,7368,0,7368,342078,2970988,1,
Sgurr a' Choire Ghlais,1083,2624,3.66,Loch Ness,52,40,69,55,11,97,97,,Highland,57.444288,-4.903757,0,1,0,0,2,7,33.1,6545,0,81855,20232,36907,0,
Beinn a' Chaorainn (Cairngorms),1082,3829,3.23,Cairngorms,92,58,37,29,9,182,182,,Aberdeenshire/Moray,57.093272,-3.577434,0,0,3,7,2,1,57.29,12587,0,0,166624,606218,0,Cairngorms
Beinn a' Chreachain,1081,4632,3.51,Argyll,87,55,58,67,6,101,101,,Perth and Kinross,56.560386,-4.647622,0,0,1,3,8,3,40.16,10459,0,10459,262758,2138618,0,
Beinn Heasgarnich,1078,3165,3.35,Perthshire,57,58,58,71,5,96,96,,Perth and Kinross,56.510272,-4.579218,0,0,1,7,2,10,47.09,10459,0,17827,608493,2225821,0,
Ben Starav,1078,4630,3.99,Fort William,96,89,72,41,18,147,147,,Highland,56.538922,-5.049748,0,0,2,5,11,3,29.52,8575,0,19034,123514,1659876,0,
Beinn Dorain,1076,8239,3.79,Argyll,132,122,58,67,6,101,101,,Argyll and Bute,56.50287,-4.722157,0,0,0,5,8,13,42.31,10459,0,19034,368815,2099741,0,
Stob Coire Sgreamhach,1072,6505,3.87,Fort William,136,85,72,41,18,147,147,,Highland,56.638314,-5.010284,0,1,4,4,17,5,20.99,10459,10459,8575,20628,1514177,0,
Braigh Coire Chruinn-bhalgain,1070,7019,3.55,Perthshire,112,109,58,71,5,96,96,,Perth and Kinross,56.831083,-3.729505,0,0,2,0,4,5,47.69,6061,0,6061,279636,720065,0,
An Socach (Mullardoch),1069,2130,3.61,Loch Ness,48,22,69,55,11,97,97,,Highland,57.350229,-5.158603,0,0,0,8,6,9,51.58,6545,0,0,92314,22360,0,
Meall Corranaich,1069,8480,3.19,Perthshire,124,110,58,71,5,96,96,,Perth and Kinross,56.540946,-4.253469,0,1,3,1,5,2,31.22,7368,0,23130,643108,2778379,0,
Glas Maol,1068,10104,3.02,Cairngorms,153,137,37,29,9,182,182,,Angus,56.873059,-3.368236,0,0,3,8,5,0,31.68,6061,0,27308,338902,762208,0,Cairngorms
Sgurr Fhuaran,1067,4168,3.9,Kintail,81,61,3,3,1,41,41,,Highland,57.19615,-5.34765,0,0,1,10,9,10,44.35,10459,0,10459,76545,23658,0,
Cairn of Claise,1064,9379,2.82,Cairngorms,158,110,37,29,9,182,182,,Aberdeenshire/Angus,56.89417,-3.338637,0,0,2,9,4,0,32.23,6061,0,27308,333782,717146,0,Cairngorms
Bidein a' Ghlas Thuill (An Teallach),1062,4264,4.12,Ullapool,78,86,24,16,5,72,72,,Highland,57.807098,-5.251767,0,0,0,0,4,9,54.23,6545,0,0,81855,30398,0,
Sgurr Fiona (An Teallach),1060,4083,4.16,Ullapool,74,89,24,16,5,72,72,,Highland,57.800726,-5.259443,0,0,0,1,3,9,54.35,6545,0,0,81855,30398,0,
Na Gruagaichean,1056,4743,3.68,Fort William,103,67,72,41,18,147,147,,Highland,56.743689,-4.939883,0,2,3,10,9,9,13.15,10459,10459,8575,0,393798,0,
Spidean a' Choire Leith (Liathach),1055,4317,4.34,Torridon,81,125,9,10,6,89,89,,Highland,57.564188,-5.463608,0,0,1,4,0,5,61.84,6545,0,0,81855,28270,0,
Stob Poite Coire Ardair,1054,5000,3.23,Fort William,83,77,72,41,18,147,147,,Highland,56.964037,-4.585762,0,0,0,2,4,9,35.39,10459,0,10459,76545,106335,0,
Toll Creagach,1054,3322,3.17,Loch Ness,67,52,69,55,11,97,97,,Highland,57.309227,-4.999953,0,0,0,5,5,13,46.85,6545,0,6545,95542,12587,0,
Sgurr a' Chaorachain,1053,2180,3.55,Torridon,55,40,9,10,6,89,89,,Highland,57.452501,-5.189301,0,0,1,1,6,10,48.21,6545,0,6545,85769,22360,0,
Glas Tulaichean,1051,4809,3.21,Perthshire,74,79,58,71,5,96,96,,Perth and Kinross,56.865757,-3.558163,0,0,2,4,7,10,40.17,6061,0,20109,316394,866747,0,
Beinn a' Chaorainn (Glen Spean),1050,3956,3.27,Fort William,65,59,72,41,18,147,147,,Highland,56.928624,-4.653644,0,0,1,0,11,9,29.99,10459,0,10459,70000,112880,0,
Geal Charn,1049,3486,3.3,Fort William,68,47,72,41,18,147,147,,Highland,56.897763,-4.457236,0,0,1,6,7,6,40.33,10459,0,10459,77368,217963,0,
Sgurr Fhuar-thuill,1049,2614,3.44,Loch Ness,52,40,69,55,11,97,97,,Highland,57.44968,-4.94178,0,0,0,0,5,6,34.78,6545,0,81855,20232,36907,0,
Carn an t-Sagairt Mor,1047,7703,2.95,Cairngorms,155,101,37,29,9,182,182,,Aberdeenshire,56.942973,-3.303227,0,1,2,4,5,6,35.44,6061,0,27308,356814,665377,0,Cairngorms
Creag Mhor (Glen Lochay),1047,3207,3.38,Perthshire,62,49,58,71,5,96,96,,Perth and Kinross/Stirling,56.489519,-4.614038,0,0,1,6,6,10,47.43,10459,0,17827,1616042,1101191,0,
Ben Wyvis,1046,7065,3.41,Loch Ness,105,144,69,55,11,97,97,,Highland,57.678914,-4.57925,0,0,0,0,0,0,12.81,6545,11855,79773,12587,39396,1,
Chno Dearg,1046,3962,3.14,Fort William,69,63,72,41,18,147,147,,Highland,56.830086,-4.660831,0,0,0,6,11,8,27.06,10459,0,10459,15943,349656,0,
Cruach Ardrain,1046,7749,3.59,Loch Lomond,132,99,33,35,7,54,54,,Stirling,56.356429,-4.576151,0,0,3,0,6,7,39.02,15430,0,210341,1977401,1376062,0,Loch Lomond and The Trossachs
Beinn Iutharn Mhor,1045,3644,3.33,Cairngorms,81,52,37,29,9,182,182,,Aberdeenshire/Perth and Kinross,56.894994,-3.568229,0,0,3,3,8,13,42.51,6061,0,20109,294473,811091,0,Cairngorms
Meall nan Tarmachan,1044,10844,3.96,Perthshire,147,190,58,71,5,96,96,,Perth and Kinross,56.521655,-4.301343,0,0,1,4,5,4,32.53,7368,0,23130,1647667,1774667,0,
Stob Coir an Albannaich,1044,3290,3.65,Fort William,70,56,72,41,18,147,147,,Argyll and Bute/Highland,56.554903,-4.979809,0,1,1,7,8,6,30.43,10459,0,19034,139882,1751704,0,
Carn Mairg,1042,8422,3.31,Perthshire,128,124,58,71,5,96,96,,Perth and Kinross,56.634635,-4.145608,0,0,1,3,3,1,34.27,7368,0,7368,397834,3011647,0,
Sgurr na Ciche,1040,2195,3.97,Fort William,61,49,72,41,18,147,147,,Highland,57.013468,-5.456905,0,0,0,4,3,10,30.32,10459,0,10459,8575,76545,0,
Meall Ghaordaidh,1039,6150,3.13,Perthshire,100,107,58,71,5,96,96,,Perth and Kinross/Stirling,56.525809,-4.416654,0,0,0,2,12,7,39.03,7368,0,16368,1546279,1846369,0,
Beinn Achaladair,1038,4834,3.66,Argyll,82,66,58,67,6,101,101,,Argyll and Bute/Perth and Kinross,56.551891,-4.69453,0,0,2,3,5,14,38.94,10459,0,10459,288728,2087075,0,
Carn a'Mhaim,1037,5207,3.75,Cairngorms,117,81,37,29,9,182,182,,Aberdeenshire,57.036871,-3.658384,0,0,4,6,5,4,57.0,6061,0,0,205876,617008,0,Cairngorms
Sgurr a'Bhealaich Dheirg,1036,3639,3.77,Kintail,74,53,3,3,1,41,41,,Highland,57.177825,-5.252177,0,1,2,18,6,4,40.79,10459,0,10459,76545,23658,0,
Gleouraich,1035,3455,3.89,Fort William,58,54,72,41,18,147,147,,Highland,57.097163,-5.238035,0,0,3,8,13,6,31.88,10459,0,10459,76545,23658,0,
Carn Dearg (Loch Pattack),1034,2645,3.38,Cairngorms,69,41,37,29,9,182,182,,Highland,56.855242,-4.454693,0,0,4,6,8,4,39.76,10459,0,10459,77368,239341,0,Cairngorms
Am Bodach,1032,6336,3.79,Fort William,123,81,72,41,18,147,147,,Highland,56.741729,-4.983387,0,2,2,10,8,6,11.42,10459,10459,8575,0,287693,0,
Beinn Fhada,1032,2735,3.76,Kintail,62,44,3,3,1,41,41,,Highland,57.221002,-5.283503,0,0,2,12,13,6,45.9,10459,0,10459,76545,23658,0,
Ben Oss,1029,6076,3.47,Argyll,101,89,58,67,6,101,101,,Stirling,56.389272,-4.775488,0,1,0,0,11,11,41.52,15430,0,96148,1665710,900441,0,
Carn an Righ,1029,4033,3.16,Perthshire,69,59,58,71,5,96,96,,Perth and Kinross,56.876583,-3.595273,0,0,1,4,8,8,42.72,6061,0,6061,308521,881416,0,
Carn Gorm,1029,8770,3.2,Perthshire,137,132,58,71,5,96,96,,Perth and Kinross,56.622537,-4.226021,0,0,0,9,1,1,36.15,7368,0,7368,271909,3135379,0,
Sgurr a'Mhaoraich,1027,2570,3.77,Fort William,51,52,72,41,18,147,147,,Highland,57.105849,-5.330509,0,0,2,13,8,11,34.62,10459,0,10459,0,90430,0,
Sgurr na Ciste Duibhe,1027,4190,3.84,Kintail,82,62,3,3,1,41,41,,Highland,57.180924,-5.337134,0,1,1,11,11,9,42.54,10459,0,10459,76545,23658,0,
Ben Challum,1025,6017,3.24,Argyll,106,102,58,67,6,101,101,,Stirling,56.454573,-4.619184,0,0,1,4,12,2,48.57,7368,0,22798,1696088,1016174,0,
Sgorr Dhearg (Beinn a' Bheithir),1024,5846,4.08,Fort William,101,89,72,41,18,147,147,,Highland,56.653921,-5.17151,0,0,0,4,7,13,18.88,10459,10459,8575,0,283228,0,
Mullach an Rathain (Liathach),1023,4229,4.28,Torridon,84,98,9,10,6,89,89,,Highland,57.560875,-5.492498,0,0,0,6,0,1,63.59,6545,0,0,11855,98270,0,
Aonach Air Chrith,1021,5218,3.74,Kintail,99,53,3,3,1,41,41,,Highland,57.12464,-5.221291,0,1,4,10,8,8,34.62,10459,0,10459,76545,23658,0,
Stob Dearg (Buachaille Etive Mor),1021,9880,4.33,Fort William,203,184,72,41,18,147,147,,Highland,56.646229,-4.900329,0,0,4,6,12,18,22.99,10459,10459,8575,22798,1641920,0,
Ladhar Bheinn,1020,2522,4.05,Fort William,51,64,72,41,18,147,147,,Highland,57.075263,-5.591745,0,0,0,2,4,9,40.96,10459,0,10459,8575,76545,0,
Beinn Bheoil,1019,2730,3.36,Cairngorms,66,41,37,29,9,182,182,,Highland,56.813276,-4.430662,0,0,0,8,4,6,41.06,10459,0,10459,77368,600727,0,Cairngorms
Carn an Tuirc,1019,9446,3.09,Cairngorms,160,120,37,29,9,182,182,,Aberdeenshire,56.908274,-3.357125,0,0,3,9,4,0,34.15,6061,0,27308,333782,702656,0,Cairngorms
Mullach Clach a'Bhlair,1019,4570,2.96,Cairngorms,93,97,37,29,9,182,182,,Highland,57.011879,-3.841287,0,0,0,6,4,7,56.71,70000,0,0,173342,465380,0,Cairngorms
Mullach Coire Mhic Fhearchair,1019,2196,3.66,Ullapool,78,37,24,16,5,72,72,,Highland,57.709022,-5.271342,0,1,1,1,6,6,51.7,6545,0,0,81855,40857,0,
Garbh Chioch Mhor,1013,2080,3.64,Fort William,56,36,72,41,18,147,147,,Highland,57.008556,-5.444322,0,0,0,4,3,9,29.4,10459,0,10459,8575,76545,0,
Cairn Bannoch,1012,7674,2.96,Cairngorms,159,95,37,29,9,182,182,,Aberdeenshire/Angus,56.927728,-3.278403,0,2,2,4,4,3,33.22,6061,0,34868,563864,457662,0,Cairngorms
Beinn Ime,1011,11967,3.42,Loch Lomond,229,184,33,35,7,54,54,,Argyll and Bute,56.236794,-4.817125,0,0,0,0,2,7,25.03,15430,0,323080,1910107,509843,0,Loch Lomond and The Trossachs
Beinn Udlamain,1010,6225,3.14,Cairngorms,103,84,37,29,9,182,182,,Highland/Perth and Kinross,56.835444,-4.329976,0,0,1,3,7,2,47.2,10459,0,10459,124328,490468,0,Cairngorms
Ruadh-stac Mor (Beinn Eighe),1010,4765,4.14,Torridon,90,95,9,10,6,89,89,,Highland,57.593735,-5.429454,0,0,0,4,3,4,59.68,6545,0,0,81855,28270,0,
Sgurr an Doire Leathain,1010,4935,3.67,Kintail,94,42,3,3,1,41,41,,Highland,57.136879,-5.281532,0,1,4,12,8,9,36.84,10459,0,10459,76545,23658,0,
Sgurr Eilde Mor,1010,3826,3.65,Fort William,84,56,72,41,18,147,147,,Highland,56.750015,-4.895436,0,1,2,10,11,7,14.95,10459,10459,0,8575,403658,0,
The Saddle,1010,3900,4.15,Kintail,84,95,3,3,1,41,41,,Highland,57.162395,-5.414721,0,0,0,8,9,14,42.46,10459,0,10459,0,90430,0,
Beinn Dearg (Blair Atholl),1008,3911,3.21,Perthshire,89,80,58,71,5,96,96,,Perth and Kinross,56.877346,-3.883719,0,0,0,2,2,8,55.84,7368,0,0,303166,582381,0,
Maoile Lunndaidh,1007,1703,3.4,Torridon,47,39,9,10,6,89,89,,Highland,57.464477,-5.111002,0,0,0,3,6,7,43.35,6545,0,6545,85769,22360,0,
An Sgarsoch,1006,2762,3.25,Cairngorms,66,47,37,29,9,182,182,,Aberdeenshire/Perth and Kinross,56.932109,-3.754294,0,0,0,2,12,6,54.18,6061,0,0,330756,506065,0,Cairngorms
Carn Liath (Creag Meagaidh),1006,5103,3.13,Fort William,85,77,72,41,18,147,147,,Highland,56.978784,-4.515288,0,0,0,2,4,9,39.95,10459,0,10459,76545,112396,0,
Beinn Fhionnlaidh (Carn Eige),1005,2161,3.47,Loch Ness,63,36,69,55,11,97,97,,Highland,57.305977,-5.129909,0,0,2,6,8,10,53.01,6545,0,0,92314,22360,0,
Beinn an Dothaidh,1004,7497,3.36,Argyll,130,100,58,67,6,101,101,,Argyll and Bute,56.53013,-4.713964,0,0,2,3,5,15,40.11,10459,0,19034,306323,2107197,0,
Sgurr an Lochain,1004,4871,3.74,Kintail,95,50,3,3,1,41,41,,Highland,57.141296,-5.297483,0,1,4,12,8,9,37.6,10459,0,10459,76545,23658,0,
The Devil's Point,1004,4946,3.75,Cairngorms,130,86,37,29,9,182,182,,Aberdeenshire,57.03571,-3.688803,0,1,3,7,4,3,58.21,6061,0,0,205876,617008,0,Cairngorms
Sgurr Mor (Loch Quoich),1003,1695,3.56,Fort William,50,39,72,41,18,147,147,,Highland,57.028446,-5.354189,0,0,0,4,11,10,27.69,10459,0,10459,8575,81855,0,
Sail Chaorainn,1002,3391,3.34,Kintail,60,54,3,3,1,41,41,,Highland,57.191622,-5.091199,0,0,2,6,15,10,41.35,10459,0,10459,81855,30935,0,
Sgurr na Carnach,1002,4068,3.67,Kintail,81,56,3,3,1,41,41,,Highland,57.189034,-5.349224,0,0,2,9,10,9,43.64,10459,0,10459,76545,23658,0,
Aonach Meadhoin,1001,3635,3.46,Kintail,72,47,3,3,1,41,41,,Highland,57.173026,-5.229166,0,0,2,18,7,2,39.99,10459,0,10459,76545,23658,0,
Meall Greigh,1001,7956,2.96,Perthshire,138,109,58,71,5,96,96,,Perth and Kinross,56.567426,-4.159559,0,0,2,6,1,3,28.87,7368,0,70090,669806,2716229,0,
Sgorr Dhonuill (Beinn a' Bheithir),1001,5599,4.06,Fort William,100,100,72,41,18,147,147,,Highland,56.650499,-5.197757,0,0,0,2,6,12,19.65,10459,10459,8575,0,275876,0,
Sgurr Breac,999,3284,3.52,Ullapool,69,54,24,16,5,72,72,,Highland,57.691943,-5.09131,0,0,3,3,4,7,40.86,6545,0,11855,79773,31084,0,
Sgurr Choinnich,999,2174,3.52,Torridon,54,44,9,10,6,89,89,,Highland,57.451026,-5.207916,0,0,1,1,5,11,49.31,6545,0,6545,85769,22360,0,
Stob Ban (Mamores),999,5739,4.06,Fort William,110,91,72,41,18,147,147,,Highland,56.743706,-5.030328,0,0,3,10,11,4,9.61,10459,10459,8575,0,280341,0,
Ben More Assynt,998,4272,3.82,Ullapool,71,75,24,16,5,72,72,,Highland,58.138164,-4.858208,0,0,0,0,0,0,60.7,5310,0,0,11855,108331,0,
Broad Cairn,998,8234,3.27,Cairngorms,164,103,37,29,9,182,182,,Aberdeenshire/Angus,56.919148,-3.249082,0,0,4,4,3,4,31.51,6061,0,34868,563864,457662,1,Cairngorms
Stob Daimh,998,6145,3.63,Argyll,116,82,58,67,6,101,101,,Argyll and Bute,56.431327,-5.091319,0,0,1,0,2,8,23.51,8575,8575,10459,202082,2012071,0,
A' Chailleach,997,3267,3.52,Ullapool,69,59,24,16,5,72,72,,Highland,57.693773,-5.128713,0,0,0,8,5,4,43.06,6545,0,6545,75310,40857,0,
Glas Bheinn Mhor,997,3966,3.57,Fort William,86,59,72,41,18,147,147,,Argyll and Bute/Highland,56.542416,-5.005267,0,1,1,2,12,8,31.44,10459,0,19034,136382,1755204,0,
Spidean Mialach,996,3395,3.64,Fort William,57,49,72,41,18,147,147,,Highland,57.088964,-5.193614,0,0,3,5,12,12,30.41,10459,0,10459,76545,23658,0,
An Caisteal,995,9445,3.48,Loch Lomond,154,128,33,35,7,54,54,,Stirling,56.3386,-4.624368,0,1,1,2,7,6,36.43,15430,0,210341,1969802,1199350,0,Loch Lomond and The Trossachs
Carn an Fhidhleir (Carn Ealar),994,2709,3.12,Cairngorms,68,45,37,29,9,182,182,,Aberdeenshire/Highland/Perth and Kinross,56.93602,-3.801534,0,0,0,3,11,5,56.84,6061,0,0,309679,504110,0,Cairngorms
Sgor na h-Ulaidh,994,3344,3.59,Fort William,54,53,72,41,18,147,147,,Highland,56.619796,-5.08006,0,0,2,10,8,9,22.29,10459,10459,8575,20628,1475706,0,
Sgurr na Ruaidhe,993,2683,3.29,Loch Ness,53,38,69,55,11,97,97,,Highland,57.441497,-4.852465,0,0,0,0,1,3,30.68,6545,0,81855,20232,43710,0,
Spidean Coire nan Clach (Beinn Eighe),993,4764,4.12,Torridon,100,84,9,10,6,89,89,,Highland,57.582098,-5.403706,0,0,0,2,4,7,58.17,6545,0,0,81855,28270,0,
Carn nan Gobhar (Loch Mullardoch),992,2456,3.29,Loch Ness,49,34,69,55,11,97,97,,Highland,57.363304,-5.024544,0,0,0,3,12,3,44.12,6545,0,76545,25542,12587,0,
Carn nan Gobhar (Strathfarrar),992,2653,3.36,Loch Ness,55,38,69,55,11,97,97,,Highland,57.452331,-4.879935,0,1,0,0,2,5,31.41,6545,0,81855,20232,43710,0,
Sgurr Alasdair,992,3437,4.16,Isle of Skye,73,80,50,28,11,188,188,Skye,Highland,57.206588,-6.224176,2,2,3,0,0,0,80.24,10459,0,0,0,19034,0,
Sgairneach Mhor,991,6165,3.22,Cairngorms,101,89,37,29,9,182,182,,Perth and Kinross,56.828447,-4.297792,0,0,0,3,7,2,49.14,10459,0,10459,133328,684614,0,Cairngorms
Beinn Eunaich,989,5686,3.39,Argyll,93,84,58,67,6,101,101,,Argyll and Bute,56.450352,-5.026639,0,0,1,2,4,8,27.71,8575,0,19034,238066,2023047,0,
Sgurr Ban,989,2201,3.47,Ullapool,80,32,24,16,5,72,72,,Highland,57.718538,-5.265903,0,1,1,3,4,5,51.64,6545,0,0,81855,30398,0,
Conival,987,4424,3.68,Ullapool,76,76,24,16,5,72,72,,Highland,58.135689,-4.883497,0,0,0,0,0,0,61.37,5310,0,0,11855,108331,0,
Creag Leacach,987,9192,3.42,Cairngorms,138,135,37,29,9,182,182,,Angus/Perth and Kinross,56.854631,-3.387751,0,0,0,7,9,0,31.13,6061,0,27308,366257,859176,0,Cairngorms
Druim Shionnach,987,5285,3.55,Kintail,101,50,3,3,1,41,41,,Highland,57.126794,-5.182841,0,1,2,12,8,5,34.46,10459,0,10459,76545,23658,0,
Gulvain,987,2399,3.61,Fort William,46,48,72,41,18,147,147,,Highland,56.936211,-5.284511,0,0,0,1,4,4,16.92,10459,10459,0,8575,76545,0,
Inaccessible Pinnacle,986,3424,4.15,Isle of Skye,82,68,50,28,11,188,188,Skye,Highland,57.213252,-6.234817,2,3,2,0,0,0,81.18,10459,0,0,0,10459,0,
Lurg Mhor,986,1662,3.66,Torridon,44,36,9,10,6,89,89,,Highland,57.413091,-5.223666,0,0,1,2,5,10,51.74,6545,0,0,92314,22360,0,
Sgurr Mor (Beinn Alligin),986,5459,4.2,Torridon,103,103,9,10,6,89,89,,Highland,57.59082,-5.572764,0,0,0,2,3,1,68.22,6545,0,0,6545,93807,0,
Ben Vorlich (Loch Earn),985,15007,3.39,Perthshire,221,245,58,71,5,96,96,,Perth and Kinross,56.34268,-4.219448,0,0,0,0,0,1,23.5,7368,16368,381633,2187235,1130913,0,
An Gearanach,982,6094,3.86,Fort William,129,78,72,41,18,147,147,,Highland,56.759172,-4.96623,0,2,5,7,8,7,10.82,10459,10459,8575,0,294238,0,
Mullach na Dheiragain,982,1831,3.41,Loch Ness,52,31,69,55,11,97,97,,Highland,57.283399,-5.18635,0,0,4,5,14,11,51.78,10459,0,0,92314,18348,0,
Creag Mhor (Meall na Aighean),981,8225,3.08,Perthshire,131,121,58,71,5,96,96,,Perth and Kinross,56.620627,-4.128741,0,0,0,5,3,1,32.41,7368,0,63328,436650,2931822,0,
Maol chinn-dearg,981,5235,3.5,Kintail,106,48,3,3,1,41,41,,Highland,57.12756,-5.252651,0,1,2,13,8,8,35.37,10459,0,10459,76545,23658,0,
Slioch,981,3899,4.04,Torridon,69,72,9,10,6,89,89,,Highland,57.667176,-5.347047,0,0,0,5,3,11,55.26,6545,0,0,81855,28270,0,
Stob Coire a' Chairn,981,6153,3.43,Fort William,127,67,72,41,18,147,147,,Highland,56.750756,-4.968985,0,2,3,8,8,8,11.3,10459,10459,8575,0,294238,0,
Beinn a' Chochuill,980,5767,3.38,Argyll,96,77,58,67,6,101,101,,Argyll and Bute,56.449781,-5.068536,0,0,1,1,3,7,25.16,8575,0,19034,202082,2005791,0,
Ciste Dhubh,979,3143,3.84,Kintail,67,58,3,3,1,41,41,,Highland,57.199234,-5.209032,0,0,4,17,8,3,42.66,10459,0,10459,76545,23658,0,
Stob Coire Sgriodain,979,3952,3.45,Fort William,68,52,72,41,18,147,147,,Highland,56.831745,-4.694918,0,0,0,4,12,13,25.0,10459,10459,0,15943,349656,0,
Beinn Dubhchraig,978,6317,3.37,Argyll,107,88,58,67,6,101,101,,Stirling,56.391295,-4.743193,0,0,0,2,10,9,41.67,15430,0,96148,1700878,911766,0,
Cona' Mheall,978,3190,3.68,Ullapool,65,49,24,16,5,72,72,,Highland,57.791077,-4.903418,0,1,1,0,6,1,35.55,6545,0,11855,79773,51748,0,
Meall nan Ceapraichean,977,3351,3.39,Ullapool,62,43,24,16,5,72,72,,Highland,57.798514,-4.934012,0,2,0,1,6,3,37.5,6545,0,11855,79773,51748,0,
Stob Ban (Grey Corries),977,3479,3.75,Fort William,76,60,72,41,18,147,147,,Highland,56.810656,-4.840877,0,0,2,9,6,10,16.12,10459,10459,0,8575,321211,0,
A' Mharconaich,975,7321,3.19,Cairngorms,116,95,37,29,9,182,182,,Highland,56.857002,-4.290668,0,0,1,3,5,3,49.72,10459,0,10459,124328,403330,0,Cairngorms
Carn a' Gheoidh,975,10250,3.04,Cairngorms,146,153,37,29,9,182,182,,Aberdeenshire/Perth and Kinross,56.873065,-3.466616,0,0,2,7,7,5,36.12,6061,0,20109,316394,869737,0,Cairngorms
Carn Liath (Beinn a' Ghlo),975,7744,3.41,Perthshire,116,109,58,71,5,96,96,,Perth and Kinross,56.80777,-3.74409,0,0,1,0,5,2,47.63,6061,0,60389,237970,769433,0,
Stuc a' Chroin,975,10818,3.76,Perthshire,183,180,58,71,5,96,96,,Perth and Kinross/Stirling,56.329315,-4.237533,0,0,0,0,0,1,23.24,9000,16368,419654,2146598,1180019,0,
Beinn Sgritheall,974,2880,3.87,Kintail,60,70,3,3,1,41,41,,Highland,57.153816,-5.579711,0,0,0,1,6,10,46.97,10459,0,10459,0,90430,0,
Ben Lomond,974,20546,3.78,Loch Lomond,314,317,33,35,7,54,54,,Stirling,56.190293,-4.633009,0,0,0,0,3,4,20.29,15430,28874,1562669,819807,1015060,1,Loch Lomond and The Trossachs
Sgurr a' Ghreadaidh,973,2800,3.97,Isle of Skye,62,47,50,28,11,188,188,Skye,Highland,57.227313,-6.234425,1,2,4,0,0,0,82.0,10459,0,0,0,10459,0,
Meall Garbh (Carn Mairg),968,8558,2.9,Perthshire,133,120,58,71,5,96,96,,Perth and Kinross,56.637381,-4.207472,0,0,0,5,4,1,36.71,7368,0,7368,189961,3219520,0,
A' Mhaighdean,967,2175,3.96,Ullapool,80,45,24,16,5,72,72,,Highland,57.719653,-5.346721,0,0,2,0,3,9,56.33,6545,0,0,81855,17811,0,
Sgorr nam Fiannaidh (Aonach Eagach),967,6509,4.13,Fort William,120,98,72,41,18,147,147,,Highland,56.679369,-5.037125,0,0,1,13,11,9,16.16,10459,10459,8575,0,379863,0,
Ben More (Mull),966,4792,3.86,Isle of Mull,61,94,9,3,3,41,41,Mull,Argyll and Bute,56.424829,-6.014015,0,0,0,0,0,0,33.37,8575,0,8575,10459,100784,0,
Sgurr na Banachdich,965,3769,3.83,Isle of Skye,71,63,50,28,11,188,188,Skye,Highland,57.220972,-6.241638,1,2,4,0,0,0,81.98,10459,0,0,0,10459,0,
Sgurr nan Gillean,964,3325,4.27,Isle of Skye,70,90,50,28,11,188,188,Skye,Highland,57.248215,-6.193159,0,0,6,1,0,0,81.26,10459,0,0,0,10459,0,
Carn a' Chlamain,963,4331,3.38,Perthshire,98,81,58,71,5,96,96,,Perth and Kinross,56.860965,-3.779634,0,0,0,4,2,5,51.79,6061,0,0,320983,638960,0,
Sgurr Thuilm,963,2872,3.65,Fort William,52,43,72,41,18,147,147,,Highland,56.937056,-5.389207,0,0,0,3,3,1,21.63,10459,10459,0,8575,76545,0,
Sgorr Ruadh,962,2862,3.77,Torridon,70,50,9,10,6,89,89,,Highland,57.498622,-5.407747,0,0,0,2,7,1,59.47,6545,0,0,81855,28270,0,
Ben Klibreck,961,3859,3.44,Sutherland,67,65,33,33,4,49,49,,Highland,58.235202,-4.41113,0,0,0,0,0,0,60.74,5310,0,0,19788,130816,0,
Beinn nan Aighenan,960,3218,3.47,Fort William,65,61,72,41,18,147,147,,Argyll and Bute,56.520221,-5.011249,0,0,1,3,12,9,30.75,8575,0,19034,145382,1937101,0,
Stuchd an Lochain,960,6229,3.62,Perthshire,101,97,58,71,5,96,96,,Perth and Kinross,56.570907,-4.470602,0,0,0,2,9,8,44.26,7368,0,17827,371967,2401610,0,
Beinn Fhionnlaidh,959,3450,3.45,Argyll,56,66,58,67,6,101,101,,Argyll and Bute,56.600978,-5.104749,0,0,0,10,6,12,24.33,10459,10459,8575,32139,1490354,0,
