name,altitude,ascent_count,rating,region,report_count,rating_count,bb_count,hotel_count,hostel_count,cottage_count,camping_count,island,county,latitude,longitude,neighbor_count_0_1,neighbor_count_1_2.5,neighbor_count_2.5_5,neighbor_count_5_10,neighbor_count_10_15,neighbor_count_15_20,nearest_city_dist,nearest_city_population,population_0_25,population_25_50,population_50_75,population_75_100,beginner_friendly,national_park
Binnein Beag,943,3621,3.57,Fort William,86,51,72,41,18,147,147,,Highland,56.766961,-4.911161,0,1,4,8,7,9,13.2,10459,10459,0,8575,367828,0,
Beinn a' Chroin,942,8754,3.44,Loch Lomond,146,124,33,35,7,54,54,,Stirling,56.331991,-4.609644,0,1,1,1,6,7,35.9,15430,0,236311,1958015,1212358,0,Loch Lomond and The Trossachs
Carn Dearg (Corrour),941,3180,3.41,Fort William,76,54,72,41,18,147,147,,Highland/Perth and Kinross,56.759931,-4.589888,0,0,0,5,5,11,32.08,10459,0,10459,24943,597766,0,
Carn na Caim,941,5698,2.76,Cairngorms,85,82,37,29,9,182,182,,Highland/Perth and Kinross,56.911739,-4.174478,0,0,0,2,1,4,57.48,10459,0,0,134787,372168,0,Cairngorms
Luinne Bheinn,939,2278,3.72,Fort William,53,41,72,41,18,147,147,,Highland,57.048325,-5.513607,0,0,0,4,5,11,35.49,10459,0,10459,8575,76545,0,
Mount Keen,939,9982,3.24,Angus,160,169,24,24,1,24,24,,Aberdeenshire/Angus,56.969751,-2.973622,0,0,0,0,0,4,30.78,7560,0,76530,529754,327786,1,
Mullach nan Coirean,939,5263,3.47,Fort William,102,79,72,41,18,147,147,,Highland,56.749866,-5.072446,0,0,1,10,10,6,8.03,10459,10459,8575,0,259954,0,
Beinn na Lap,937,3565,3.3,Fort William,87,76,72,41,18,147,147,,Highland,56.78939,-4.659994,0,0,0,6,9,13,27.31,10459,0,10459,15943,419087,0,
Beinn Sgulaird,937,3559,3.65,Argyll,60,80,58,67,6,101,101,,Argyll and Bute,56.566232,-5.170365,0,0,0,4,8,8,25.24,8575,0,19034,87573,1445638,0,
Beinn Tarsuinn,937,2179,3.73,Ullapool,74,39,24,16,5,72,72,,Highland,57.702051,-5.291634,0,1,1,1,7,5,52.7,6545,0,0,81855,40857,0,
Sron a' Choire Ghairbh,937,3796,3.39,Fort William,71,58,72,41,18,147,147,,Highland,57.00784,-4.928747,0,0,0,0,0,4,23.49,10459,10459,0,85120,22451,0,
